category,product_name,sales,date
retail/trade,department store,31086,2005-12-01
retail/trade,department store,14033,2006-01-01
retail/trade,department store,14800,2006-02-01
retail/trade,department store,16490,2006-03-01
retail/trade,department store,16811,2006-04-01
retail/trade,department store,17005,2006-05-01
retail/trade,department store,16706,2006-06-01
retail/trade,department store,16025,2006-07-01
retail/trade,department store,16997,2006-08-01
retail/trade,department store,15781,2006-09-01
retail/trade,department store,16675,2006-10-01
retail/trade,department store,21167,2006-11-01
retail/trade,department store,30665,2006-12-01
retail/trade,department store,14119,2007-01-01
retail/trade,department store,14441,2007-02-01
retail/trade,department store,16534,2007-03-01
retail/trade,department store,16091,2007-04-01
retail/trade,department store,16924,2007-05-01
retail/trade,department store,16307,2007-06-01
retail/trade,department store,15653,2007-07-01
retail/trade,department store,17283,2007-08-01
retail/trade,department store,15254,2007-09-01
retail/trade,department store,16354,2007-10-01
retail/trade,department store,20878,2007-11-01
retail/trade,department store,29554,2007-12-01
retail/trade,department store,13214,2008-01-01
retail/trade,department store,14291,2008-02-01
retail/trade,department store,15765,2008-03-01
retail/trade,department store,14947,2008-04-01
retail/trade,department store,16640,2008-05-01
retail/trade,department store,15883,2008-06-01
retail/trade,department store,15142,2008-07-01
retail/trade,department store,16425,2008-08-01
retail/trade,department store,13868,2008-09-01
retail/trade,department store,15392,2008-10-01
retail/trade,department store,19420,2008-11-01
retail/trade,department store,27249,2008-12-01
retail/trade,department store,12651,2009-01-01
retail/trade,department store,12869,2009-02-01
retail/trade,department store,14057,2009-03-01
retail/trade,department store,14575,2009-04-01
retail/trade,department store,15379,2009-05-01
retail/trade,department store,14202,2009-06-01
retail/trade,department store,14171,2009-07-01
retail/trade,department store,15338,2009-08-01
retail/trade,department store,13506,2009-09-01
retail/trade,department store,14973,2009-10-01
retail/trade,department store,18277,2009-11-01
retail/trade,department store,26585,2009-12-01
retail/trade,department store,12297,2010-01-01
retail/trade,department store,12819,2010-02-01
retail/trade,department store,14632,2010-03-01
retail/trade,department store,14184,2010-04-01
retail/trade,department store,14922,2010-05-01
retail/trade,department store,14273,2010-06-01
retail/trade,department store,13955,2010-07-01
retail/trade,department store,14709,2010-08-01
retail/trade,department store,13520,2010-09-01
retail/trade,department store,14387,2010-10-01
retail/trade,department store,18415,2010-11-01
retail/trade,department store,26642,2010-12-01
retail/trade,department store,11895,2011-01-01
retail/trade,department store,12857,2011-02-01
retail/trade,department store,14178,2011-03-01
retail/trade,department store,14513,2011-04-01
retail/trade,department store,14485,2011-05-01
retail/trade,department store,14719,2011-06-01
retail/trade,department store,13901,2011-07-01
retail/trade,department store,14675,2011-08-01
retail/trade,department store,13597,2011-09-01
retail/trade,department store,14263,2011-10-01
retail/trade,department store,18035,2011-11-01
retail/trade,department store,26243,2011-12-01
retail/trade,department store,11428,2012-01-01
retail/trade,department store,13165,2012-02-01
retail/trade,department store,14445,2012-03-01
retail/trade,department store,13576,2012-04-01
retail/trade,department store,14108,2012-05-01
retail/trade,department store,13908,2012-06-01
retail/trade,department store,13145,2012-07-01
retail/trade,department store,14710,2012-08-01
retail/trade,department store,13124,2012-09-01
retail/trade,department store,13485,2012-10-01
retail/trade,department store,17615,2012-11-01
retail/trade,department store,24604,2012-12-01
retail/trade,department store,11313,2013-01-01
retail/trade,department store,12047,2013-02-01
retail/trade,department store,13927,2013-03-01
retail/trade,department store,12474,2013-04-01
retail/trade,department store,13944,2013-05-01
retail/trade,department store,13251,2013-06-01
retail/trade,department store,12594,2013-07-01
retail/trade,department store,14139,2013-08-01
retail/trade,department store,12500,2013-09-01
retail/trade,department store,13309,2013-10-01
retail/trade,department store,16882,2013-11-01
retail/trade,department store,23814,2013-12-01
retail/trade,department store,10579,2014-01-01
retail/trade,department store,11583,2014-02-01
retail/trade,department store,13223,2014-03-01
retail/trade,department store,13055,2014-04-01
retail/trade,department store,13970,2014-05-01
retail/trade,department store,12957,2014-06-01
retail/trade,department store,12670,2014-07-01
retail/trade,department store,14113,2014-08-01
retail/trade,department store,12111,2014-09-01
retail/trade,department store,13150,2014-10-01
retail/trade,department store,16804,2014-11-01
retail/trade,department store,23853,2014-12-01
retail/trade,department store,10797,2015-01-01
